version,seed,class,precision,recall_class_accuracy,f1,support
NoReservoir,42,negative,0.9323374340949033,0.5622681505034446,0.7014876033057851,1887
NoReservoir,42,positive,0.29642248722316866,0.8188235294117647,0.4352720450281426,425
Reservoir,42,negative,0.9191118160190325,0.6142024377318495,0.7363405336721728,1887
Reservoir,42,positive,0.3073263558515699,0.76,0.43766937669376693,425
NoReservoir,69,negative,0.9228321400159109,0.6147323794382618,0.737913486005089,1887
NoReservoir,69,positive,0.3109004739336493,0.7717647058823529,0.4432432432432433,425
Reservoir,69,negative,0.9027102154273802,0.6883942766295708,0.7811184606133496,1887
Reservoir,69,positive,0.32646048109965636,0.6705882352941176,0.4391371340523883,425
NoReservoir,123,negative,0.9241549876339654,0.5940646528881823,0.7232258064516129,1887
NoReservoir,123,positive,0.30300272975432213,0.7835294117647059,0.43700787401574803,425
Reservoir,123,negative,0.9132455460883037,0.6248012718600954,0.7419760855884204,1887
Reservoir,123,positive,0.30656219392752204,0.7364705882352941,0.4329183955739973,425
