image_id,asp_pred,label_bin,split
ISIC_0034010,1,0,train
ISIC_0035059,0,0,train
ISIC_0029240,0,0,train
ISIC_0034626,0,0,train
ISIC_0027349,0,0,train
ISIC_0010256,0,0,train
ISIC_0027777,0,0,train
ISIC_0035271,1,1,train
ISIC_0035018,1,0,train
ISIC_0028051,1,1,train
ISIC_0031022,0,0,train
ISIC_0003582,0,0,train
ISIC_0015026,1,0,train
ISIC_0031829,1,0,train
ISIC_0035993,1,0,train
ISIC_0029731,0,0,train
ISIC_0028600,1,0,train
ISIC_0034581,0,0,train
ISIC_0024888,1,0,train
ISIC_0009201,0,0,train
ISIC_0032162,0,0,train
ISIC_0027392,1,0,train
ISIC_0029297,0,0,train
ISIC_0036192,0,0,train
ISIC_0025583,1,0,train
ISIC_0032484,0,0,train
ISIC_0016061,0,0,train
ISIC_0031135,0,0,train
ISIC_0030998,1,0,train
ISIC_0027773,1,0,train
ISIC_0035318,1,0,train
ISIC_0031312,0,0,train
ISIC_0000386,0,0,train
ISIC_0031264,0,0,train
ISIC_0013269,0,0,train
ISIC_0027427,1,0,train
ISIC_0029864,1,0,train
ISIC_0034785,1,0,train
ISIC_0008236,0,0,train
ISIC_0013306,0,0,train
ISIC_0032507,0,0,train
ISIC_0035027,0,0,train
ISIC_0036112,0,0,train
ISIC_0011210,0,0,train
ISIC_0000029,1,0,train
ISIC_0035422,0,0,train
ISIC_0000229,1,0,train
ISIC_0031992,0,0,train
ISIC_0027751,1,0,train
ISIC_0033367,0,0,train
ISIC_0012897,0,0,train
ISIC_0012989,0,0,train
ISIC_0034703,0,0,train
ISIC_0027335,1,0,train
ISIC_0027747,0,0,train
ISIC_0010044,1,0,train
ISIC_0035696,0,1,train
ISIC_0035102,1,0,train
ISIC_0031968,0,0,train
ISIC_0034469,0,0,train
ISIC_0027607,1,0,train
ISIC_0000013,1,1,train
ISIC_0031976,1,1,train
ISIC_0020359,0,0,train
ISIC_0034334,1,0,train
ISIC_0009949,0,0,train
ISIC_0021786,0,0,train
ISIC_0026238,0,0,train
ISIC_0024479,0,0,train
ISIC_0026126,1,0,train
ISIC_0026547,0,0,train
ISIC_0028649,0,0,train
ISIC_0033827,1,0,train
ISIC_0026825,1,0,train
ISIC_0035555,0,0,train
ISIC_0000495,0,0,train
ISIC_0031808,1,0,train
ISIC_0013489,0,0,train
ISIC_0000365,0,0,train
ISIC_0033293,0,0,train
ISIC_0036235,0,0,train
ISIC_0018209,1,0,train
ISIC_0035724,1,0,train
ISIC_0026834,0,0,train
ISIC_0025395,0,0,train
ISIC_0033137,1,0,train
ISIC_0000224,1,0,train
ISIC_0030119,1,1,train
ISIC_0026162,0,0,train
ISIC_0000043,1,0,train
ISIC_0035835,1,0,train
ISIC_0034737,1,1,train
ISIC_0035340,1,0,train
ISIC_0031533,0,0,train
ISIC_0031295,1,1,train
ISIC_0007788,0,0,train
ISIC_0027684,1,0,train
ISIC_0029089,1,1,train
ISIC_0000513,1,0,train
ISIC_0014716,1,0,train
ISIC_0024760,0,0,train
ISIC_0000358,0,0,train
ISIC_0025064,0,0,train
ISIC_0025229,0,0,train
ISIC_0032669,1,0,train
ISIC_0027225,0,0,train
ISIC_0032865,0,0,train
ISIC_0011386,0,0,train
ISIC_0033287,1,1,train
ISIC_0027951,1,0,train
ISIC_0001102,1,1,train
ISIC_0029946,1,0,train
ISIC_0032969,0,0,train
ISIC_0027009,0,0,train
ISIC_0036048,0,0,train
ISIC_0002885,0,0,train
ISIC_0028169,0,0,train
ISIC_0015408,0,0,train
ISIC_0025277,1,1,train
ISIC_0031901,1,0,train
ISIC_0033221,1,0,train
ISIC_0010557,0,0,train
ISIC_0012888,0,0,train
ISIC_0015102,1,0,train
ISIC_0027404,1,0,train
ISIC_0031710,1,0,train
ISIC_0013079,0,0,train
ISIC_0031147,0,0,train
ISIC_0035341,0,0,train
ISIC_0028466,0,0,train
ISIC_0032907,0,0,train
ISIC_0026516,0,1,train
ISIC_0032137,0,0,train
ISIC_0030870,1,0,train
ISIC_0024699,0,0,train
ISIC_0027850,1,0,train
ISIC_0032446,0,0,train
ISIC_0026759,0,0,train
ISIC_0013248,0,0,train
ISIC_0028885,0,0,train
ISIC_0031254,1,0,train
ISIC_0033701,1,0,train
ISIC_0013371,0,1,train
ISIC_0029202,0,0,train
ISIC_0015583,1,0,train
ISIC_0035376,1,1,train
ISIC_0029715,1,1,train
ISIC_0033039,1,0,train
ISIC_0027211,0,0,train
ISIC_0027184,1,1,train
ISIC_0014156,1,0,train
ISIC_0024545,1,1,train
ISIC_0000048,1,0,train
ISIC_0028928,0,1,train
ISIC_0032556,1,0,train
ISIC_0015603,0,0,train
ISIC_0030920,0,0,train
ISIC_0033043,1,0,train
ISIC_0035981,1,0,train
ISIC_0034011,1,0,train
ISIC_0032100,0,0,train
ISIC_0031805,0,0,train
ISIC_0032941,1,0,train
ISIC_0026926,0,0,train
ISIC_0024961,1,1,train
ISIC_0030445,1,1,train
ISIC_0030299,0,0,train
ISIC_0021156,1,0,train
ISIC_0033685,1,0,train
ISIC_0029586,0,0,train
ISIC_0034682,0,1,train
ISIC_0028845,0,0,train
ISIC_0033950,1,0,train
ISIC_0035204,0,0,train
ISIC_0022245,0,1,train
ISIC_0033232,1,1,train
ISIC_0020921,0,0,train
ISIC_0026397,0,0,train
ISIC_0033288,1,0,train
ISIC_0033628,0,0,train
ISIC_0026181,0,0,train
ISIC_0032095,0,1,train
ISIC_0027674,1,0,train
ISIC_0033560,1,1,train
ISIC_0032386,0,0,train
ISIC_0029288,1,0,train
ISIC_0035983,1,0,train
ISIC_0029535,0,0,train
ISIC_0024859,0,0,train
ISIC_0033303,1,0,train
ISIC_0024489,1,0,train
ISIC_0034522,1,0,train
ISIC_0030520,1,0,train
